Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7629.0,7625 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7644.0,7640 VT-C,#000000,#00B8D4,Right,1,true
ESU6.CME@RITHMIC,7649.0,7645 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7654.0,7650 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7659.0,7655 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7854.0,7850 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7646.5,763 PW+LG,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7656.5,764 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7666.5,765 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7696.5,768 CW,#000000,#00C853,Right,1,true
