Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQU6.CME@RITHMIC,29283.25,29200 PW,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29383.25,29300 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29483.25,29400 LG,#000000,#FF9100,Right,1,true
NQU6.CME@RITHMIC,29583.25,29500 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29843.25,29760 CB,#000000,#AA00FF,Right,1,true
NQU6.CME@RITHMIC,29305.25,711 PW+LG,#000000,#FF1744,Right,1,true
NQU6.CME@RITHMIC,29346.5,712 VT-P,#000000,#D500F9,Right,1,true
NQU6.CME@RITHMIC,29428.75,714 ZG,#000000,#FFD600,Right,1,true
NQU6.CME@RITHMIC,29593.75,718 CW,#000000,#00C853,Right,1,true
NQU6.CME@RITHMIC,29882.25,725 CB,#000000,#AA00FF,Right,1,true
