Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
ESU6.CME@RITHMIC,7671.75,7650 CB,#000000,#AA00FF,Right,1,true
ESU6.CME@RITHMIC,7721.75,7700 PW,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7766.75,7745 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7771.75,7750 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7801.75,7780 CW,#000000,#00C853,Right,1,true
ESU6.CME@RITHMIC,7821.75,7800 VT-C,#000000,#00B8D4,Right,1,true
ESU6.CME@RITHMIC,7644.0,760 ZG,#000000,#FFD600,Right,1,true
ESU6.CME@RITHMIC,7734.5,769 PW+CB,#000000,#FF1744,Right,1,true
ESU6.CME@RITHMIC,7764.75,772 VT-P,#000000,#D500F9,Right,1,true
ESU6.CME@RITHMIC,7774.75,773 LG,#000000,#FF9100,Right,1,true
ESU6.CME@RITHMIC,7795.0,775 CW,#000000,#00C853,Right,1,true
